Cor B	Cor A	Value	Error
-250.0	-60.0	0.207098	0.6131
-247.5	-60.0	0.0580293	0.0894
-245.0	-60.0	0.19349	0.3992
-242.5	-60.0	0.131833	0.4237
-240.0	-60.0	0.142765	0.3349
-237.5	-60.0	0.105382	0.3347
-235.0	-60.0	0.137358	0.3382
-232.5	-60.0	0.094327	0.4192
-230.0	-60.0	0.120947	0.4026
-227.5	-60.0	0.136719	0.4177
-225.0	-60.0	0.16496	0.4461
-222.5	-60.0	0.311067	0.2541
-220.0	-60.0	0.292333	0.2194
-217.5	-60.0	0.494756	0.2038
-215.0	-60.0	0.586875	0.2427
-212.5	-60.0	0.772323	0.2675
-210.0	-60.0	1.03865	0.1931
-207.5	-60.0	1.49176	0.234
-205.0	-60.0	2.38835	0.279
-202.5	-60.0	2.0224	0.2062
-200.0	-60.0	3.73218	0.2445
-197.5	-60.0	7.40984	0.3344
-195.0	-60.0	10.6513	0.3106
-192.5	-60.0	8.45913	0.2395
-190.0	-60.0	5.8815	0.1392
-187.5	-60.0	15.7193	0.274
-185.0	-60.0	20.6877	0.2464
-182.5	-60.0	27.9359	0.2651
-180.0	-60.0	24.2584	0.2131
-177.5	-60.0	38.9119	0.2828
-175.0	-60.0	52.4645	0.2828
-172.5	-60.0	125.162	0.4395
-170.0	-60.0	78.1064	0.3395
-167.5	-60.0	103.181	0.2261
-165.0	-60.0	259.321	0.386
-162.5	-60.0	192.847	0.2812
-160.0	-60.0	227.062	0.1806
-157.5	-60.0	450.748	0.2566
-155.0	-60.0	463.735	0.4111
-152.5	-60.0	309.137	0.0952
-150.0	-60.0	722.254	0.177
-147.5	-60.0	1095.13	0.1607
-145.0	-60.0	2243.42	0.4388
-142.5	-60.0	3098.9	0.349
-140.0	-60.0	2955.08	0.2376
-137.5	-60.0	4770.22	0.3268
-135.0	-60.0	7857.86	0.3649
-132.5	-60.0	8133.12	0.3465
-130.0	-60.0	11646.2	0.1936
-127.5	-60.0	11978.6	0.1972
-125.0	-60.0	21076.4	0.3135
-122.5	-60.0	23389.9	0.253
-120.0	-60.0	46204.0	0.203
-117.5	-60.0	62736.3	0.229
-115.0	-60.0	125195.0	0.2298
-112.5	-60.0	223072.0	0.1817
-110.0	-60.0	345877.0	0.1465
-107.5	-60.0	435136.0	0.1224
-105.0	-60.0	423121.0	0.0663
-102.5	-60.0	418011.0	0.0628
-100.0	-60.0	440606.0	0.0733
-97.5	-60.0	490122.0	0.0634
-95.0	-60.0	456952.0	0.0564
-92.5	-60.0	438346.0	0.0603
-90.0	-60.0	439499.0	0.0613
-87.5	-60.0	461022.0	0.0553
-85.0	-60.0	436981.0	0.0618
-82.5	-60.0	428234.0	0.054
-80.0	-60.0	398692.0	0.0558
-77.5	-60.0	453077.0	0.055
-75.0	-60.0	401335.0	0.0563
-72.5	-60.0	414305.0	0.0622
-70.0	-60.0	399650.0	0.0589
-67.5	-60.0	409931.0	0.064
-65.0	-60.0	341529.0	0.0535
-62.5	-60.0	355672.0	0.0726
-60.0	-60.0	294300.0	0.0807
-57.5	-60.0	291491.0	0.0783
-55.0	-60.0	237398.0	0.0805
-52.5	-60.0	200264.0	0.0845
-50.0	-60.0	162454.0	0.1159
-47.5	-60.0	115088.0	0.1778
-45.0	-60.0	65909.5	0.1296
-42.5	-60.0	70418.3	0.095
-40.0	-60.0	66416.3	0.1038
-37.5	-60.0	63405.9	0.1002
-35.0	-60.0	63824.7	0.1011
-32.5	-60.0	59388.7	0.1072
-30.0	-60.0	59053.8	0.0933
-27.5	-60.0	59378.8	0.0969
-25.0	-60.0	69141.4	0.0837
-22.5	-60.0	79412.7	0.079
-20.0	-60.0	103650.0	0.0768
-17.5	-60.0	119135.0	0.0711
-15.0	-60.0	174577.0	0.0588
-12.5	-60.0	244416.0	0.0501
-10.0	-60.0	346193.0	0.0426
-7.5	-60.0	379208.0	0.0412
-5.0	-60.0	431091.0	0.0386
-2.5	-60.0	427839.0	0.0386
0.0	-60.0	460851.0	0.038
2.5	-60.0	466755.0	0.0374
5.0	-60.0	537818.0	0.0364
7.5	-60.0	587649.0	0.0361
10.0	-60.0	518463.0	0.0394
12.5	-60.0	426961.0	0.0438
15.0	-60.0	354320.0	0.0483
17.5	-60.0	298213.0	0.0503
20.0	-60.0	266689.0	0.052
22.5	-60.0	232823.0	0.0535
25.0	-60.0	227823.0	0.0574
27.5	-60.0	191217.0	0.0607
30.0	-60.0	170266.0	0.0616
32.5	-60.0	171044.0	0.0666
35.0	-60.0	133911.0	0.0714
37.5	-60.0	113831.0	0.0746
40.0	-60.0	100856.0	0.0824
42.5	-60.0	86084.1	0.0838
45.0	-60.0	66451.2	0.0932
47.5	-60.0	53411.1	0.1004
50.0	-60.0	49387.3	0.1074
52.5	-60.0	49060.7	0.1101
55.0	-60.0	59679.9	0.1078
57.5	-60.0	54544.8	0.1149
60.0	-60.0	61185.9	0.1121
62.5	-60.0	61963.0	0.1096
65.0	-60.0	59284.0	0.1103
67.5	-60.0	61945.2	0.1019
70.0	-60.0	68250.4	0.1067
72.5	-60.0	61665.2	0.1104
75.0	-60.0	57876.1	0.1084
77.5	-60.0	53952.6	0.1084
80.0	-60.0	56196.4	0.1137
82.5	-60.0	57885.6	0.1144
85.0	-60.0	58920.9	0.1181
87.5	-60.0	64234.2	0.1123
90.0	-60.0	55103.7	0.1173
92.5	-60.0	53175.0	0.1128
95.0	-60.0	47597.0	0.119
97.5	-60.0	67834.3	0.1012
100.0	-60.0	73450.7	0.1069
102.5	-60.0	78214.4	0.1038
105.0	-60.0	62345.4	0.0998
107.5	-60.0	43358.9	0.1151
110.0	-60.0	26280.3	0.1448
112.5	-60.0	15598.0	0.1801
115.0	-60.0	10618.3	0.2024
117.5	-60.0	4732.35	0.2113
120.0	-60.0	2473.26	0.2219
122.5	-60.0	1507.87	0.2047
125.0	-60.0	862.089	0.1821
127.5	-60.0	589.793	0.2022
130.0	-60.0	429.914	0.2176
132.5	-60.0	298.316	0.2108
135.0	-60.0	251.191	0.2422
137.5	-60.0	173.283	0.2449
140.0	-60.0	105.371	0.2271
142.5	-60.0	48.7683	0.1226
145.0	-60.0	35.335	0.1607
147.5	-60.0	25.9574	0.1539
150.0	-60.0	19.5876	0.1406
152.5	-60.0	13.6614	0.1283
155.0	-60.0	10.0023	0.1304
157.5	-60.0	7.12428	0.1214
160.0	-60.0	4.72235	0.1121
162.5	-60.0	3.37969	0.1037
165.0	-60.0	2.43864	0.1102
167.5	-60.0	1.86605	0.1138
170.0	-60.0	1.43795	0.139
172.5	-60.0	1.17291	0.1731
175.0	-60.0	0.810168	0.1145
177.5	-60.0	0.640007	0.1326
180.0	-60.0	0.456203	0.1158
182.5	-60.0	0.323636	0.1042
185.0	-60.0	0.223012	0.1078
187.5	-60.0	0.172222	0.1092
190.0	-60.0	0.117474	0.1089
192.5	-60.0	0.0780573	0.1091
195.0	-60.0	0.0561161	0.1127
197.5	-60.0	0.0548151	0.1261
200.0	-60.0	0.0554914	0.1483
202.5	-60.0	0.0526005	0.142
205.0	-60.0	0.0491816	0.1346
207.5	-60.0	0.0406301	0.1057
210.0	-60.0	0.0397848	0.1022
212.5	-60.0	0.0391117	0.1121
215.0	-60.0	0.0377209	0.1224
217.5	-60.0	0.0381482	0.1008
220.0	-60.0	0.0356326	0.1031
222.5	-60.0	0.0401872	0.1119
225.0	-60.0	0.0730498	0.4933
227.5	-60.0	0.0903544	0.559
230.0	-60.0	0.0887169	0.5727
232.5	-60.0	0.0823248	0.6173
235.0	-60.0	0.0573974	0.4442
237.5	-60.0	0.0293061	0.0994
240.0	-60.0	0.0285729	0.1019
242.5	-60.0	0.0286001	0.1066
245.0	-60.0	0.024695	0.1014
247.5	-60.0	0.0263475	0.106
-250.0	-57.6	0.471093	0.4953
-247.5	-57.6	0.511495	0.679
-245.0	-57.6	0.474118	0.7247
-242.5	-57.6	0.514432	0.6769
-240.0	-57.6	0.192867	0.3402
-237.5	-57.6	0.27326	0.3063
-235.0	-57.6	0.186914	0.3361
-232.5	-57.6	0.104907	0.3019
-230.0	-57.6	0.0573183	0.1617
-227.5	-57.6	0.106204	0.423
-225.0	-57.6	0.276435	0.3048
-222.5	-57.6	0.472823	0.2176
-220.0	-57.6	0.47223	0.1848
-217.5	-57.6	0.565171	0.1314
-215.0	-57.6	0.865684	0.1581
-212.5	-57.6	1.35629	0.2055
-210.0	-57.6	2.3889	0.1925
-207.5	-57.6	2.87199	0.199
-205.0	-57.6	4.7538	0.2059
-202.5	-57.6	6.61218	0.2204
-200.0	-57.6	9.50428	0.2648
-197.5	-57.6	7.98766	0.2404
-195.0	-57.6	9.50842	0.1458
-192.5	-57.6	12.5346	0.1624
-190.0	-57.6	14.1371	0.1933
-187.5	-57.6	37.4399	0.4228
-185.0	-57.6	58.9278	0.4324
-182.5	-57.6	53.257	0.2354
-180.0	-57.6	57.2809	0.2013
-177.5	-57.6	62.2755	0.1779
-175.0	-57.6	59.786	0.1074
-172.5	-57.6	142.255	0.3426
-170.0	-57.6	140.398	0.1987
-167.5	-57.6	160.141	0.1019
-165.0	-57.6	333.869	0.3246
-162.5	-57.6	506.711	0.2707
-160.0	-57.6	500.767	0.2147
-157.5	-57.6	618.977	0.1736
-155.0	-57.6	819.842	0.1577
-152.5	-57.6	832.039	0.1276
-150.0	-57.6	990.84	0.0712
-147.5	-57.6	1597.65	0.0959
-145.0	-57.6	2477.65	0.2037
-142.5	-57.6	3102.24	0.1469
-140.0	-57.6	4336.81	0.1767
-137.5	-57.6	9274.95	0.2767
-135.0	-57.6	12025.1	0.2534
-132.5	-57.6	13785.5	0.2087
-130.0	-57.6	21873.4	0.176
-127.5	-57.6	30653.7	0.226
-125.0	-57.6	47623.2	0.2056
-122.5	-57.6	56819.7	0.1865
-120.0	-57.6	69226.6	0.1611
-117.5	-57.6	87581.6	0.1627
-115.0	-57.6	169304.0	0.1766
-112.5	-57.6	264399.0	0.1494
-110.0	-57.6	427498.0	0.1189
-107.5	-57.6	554707.0	0.1087
-105.0	-57.6	486338.0	0.0561
-102.5	-57.6	461617.0	0.0569
-100.0	-57.6	471078.0	0.0661
-97.5	-57.6	512740.0	0.0684
-95.0	-57.6	481450.0	0.0576
-92.5	-57.6	503476.0	0.0577
-90.0	-57.6	494536.0	0.0635
-87.5	-57.6	506416.0	0.0599
-85.0	-57.6	501444.0	0.0567
-82.5	-57.6	493217.0	0.0548
-80.0	-57.6	517768.0	0.062
-77.5	-57.6	502777.0	0.0595
-75.0	-57.6	459527.0	0.0598
-72.5	-57.6	465135.0	0.0564
-70.0	-57.6	452932.0	0.0584
-67.5	-57.6	463343.0	0.0627
-65.0	-57.6	437298.0	0.0601
-62.5	-57.6	385635.0	0.0707
-60.0	-57.6	360978.0	0.081
-57.5	-57.6	323747.0	0.0706
-55.0	-57.6	251524.0	0.0692
-52.5	-57.6	249983.0	0.087
-50.0	-57.6	163236.0	0.0816
-47.5	-57.6	97317.6	0.098
-45.0	-57.6	103797.0	0.1075
-42.5	-57.6	99325.9	0.1063
-40.0	-57.6	100305.0	0.0894
-37.5	-57.6	98337.9	0.0821
